{{Infobox settlement
|official_name          =Kachia
|other_name             =
|native_name            = Akhwee 
|nickname               = 
|settlement_type        = [[Local Government Areas of Nigeria|LGA]] and town
|motto                  =Home of Ginger
|image_skyline          = 
|imagesize              = 
|image_caption          = 
|image_flag             = 
|flag_size              =
|image_seal             = 
|seal_size              =
|image_map              =
|mapsize                = 
|map_caption            =
|pushpin_map            =
|pushpin_label_position =
|pushpin_mapsize=
|pushpin_map_caption    =
|subdivision_type       = Country
|subdivision_name       ={{flag|Nigeria}}
|subdivision_type1      = [[States of Nigeria|State]] 
|subdivision_name1      =[[Kaduna State]]
|subdivision_type2      =
|subdivision_name2      =
|subdivision_type3      = 
|subdivision_name3      = 
|seat_type = [[Headquarters]]
|seat =  Kachia Town
|government_footnotes   =
|government_type        = [[Democracy]]
|leader_title           = Executive Chairman
|leader_name            = Hon. Peter Agite<ref>{{Cite web |url=https://www.premiumtimesng.com/regional/nwest/268482-kaduna-lg-polls-apc-wins-12-pdp-five-local-govts.html |title=APC Wins 12, PDP five local govts |date=May 15, 2018 |website=Premium Times |access-date=August 7, 2020}}</ref>
|established_title      =  
|established_date       = 
|area_magnitude         = 
|unit_pref                =Imperial
|area_footnotes           =
|area_total_km2           =4,466
|area_land_km2            =
|population_as_of               =2006
|population_footnotes           =
|population_note                =
|population_total               =252,568
|population_density_km2         =74.60
|timezone               =[[West Africa Time|WAT]]
|utc_offset             = +1
|timezone_DST           =
|utc_offset_DST         = 
|coordinates            = 
|elevation_footnotes    =  
|elevation_m            = 
|elevation_ft           = 
|postal_code_type       =  
|postal_code            =
|area_code              =
|blank_name             =
|blank_info             =
|website                = www.KEDA.com
|footnotes              = 
}}
