{{Infobox settlement
| name                            = Rolleston
| native_name                     = Roretana, Tauwharekākaho ([[Māori language|Māori]])</small>
| native_name_lang                = <!-- ISO 639-2 code e.g. "fr" for French. If more than one, use {{lang}} instead -->
| settlement_type                 = [[Urban areas of New Zealand|Town]] <!-- e.g. Town, Village, City, etc.-->
| pushpin_map                     = New Zealand
| coordinates                     = {{coord|43|35|S|172|23|E|region:NZ|display=inline}}
| subdivision_type                = [[Country]]
| subdivision_name                = {{NZL}}
| subdivision_type1               = [[Islands of New Zealand|Island]]
| subdivision_type2               = [[Regions of New Zealand|Region]]
| subdivision_type3               = [[Territorial authority]]
| subdivision_name1               = [[South Island]]
| subdivision_name2               = [[Canterbury, New Zealand|Canterbury]]
| subdivision_name3               = [[Selwyn District]]
| seat_type                       = Electorates
| seat                            = [[Selwyn (New Zealand electorate)|Selwyn]]<br>[[Te Tai Tonga]]
| named_for                       = [[William Rolleston]]
| area_total_km2                  = 22.07
| elevation_m                     = 50
| population_total                = {{NZ population data 2018|Rolleston|y}}
| population_as_of                = {{NZ population data 2018|Rolleston||y}}
| population_footnotes            = {{NZ population data 2018|Rolleston|||y}}
| population_density_km2          = auto
| postal_code_type                = [[Postcodes in New Zealand|Postcode(s)]]
| postal_code                     = 7614, 7615
| timezone                        = [[Time in New Zealand|NZST]]
| utc_offset                      = +12
| timezone_DST                    = NZDT
| utc_offset_DST                  = +13
| blank_name                      = Local [[iwi]]
| blank_info                      = [[Ngāi Tahu]]
| official_name                   = 
| area_footnotes                  = <ref>{{Cite web|title=Urban Rural 2020 (generalised) - GIS {{!}} {{!}} GIS Map Data Datafinder Geospatial Statistics {{!}} Stats NZ Geographic Data Service|url=https://datafinder.stats.govt.nz/layer/104269-urban-rural-2020-generalised/|access-date=2020-10-25|website=datafinder.stats.govt.nz}}</ref>
| image_skyline                   = Rolleston from the air MRD.jpg
| image_caption                   = Rolleston from the air looking north-east to Christchurch
}}
