city_id,Ename,Estate_name,state_name,Ecountry_name,country_name,Econtinent_name,continent_name,area,population,population_acc_to_year,is_country_capital,is_state_capital,Eother_names,other_names,EGWCR_ranking,GWCR_ranking,is_largest,is_populous,Ecity_type,city_type,name
1,London,Greater London ,గ్రేటర్ లండన్,England,ఇంగ్లాండ్,Europe,యూరోప్,1572,"12,434,823",2020,1,1,"The Smoke,The Big Smoke","పొగ, బిగ్ స్మోక్",alpha++,ఆల్ఫా ++,1,3,metropolitan,మహానగరం ,లండన్
2,New York,New York,న్యూ యార్క్,United States of America,యునైటెడ్ స్టేట్స్,North America,ఉత్తర అమెరికా,784,"20,320,876",2020,0,0,the Big Apple,బిగ్ ఆపిల్,alpha++,ఆల్ఫా ++,24,4,costal,తీరప్రాంతం,న్యూ యార్క్
3,Paris,Ile-de-France province of France,ఇలే-డి-ఫ్రాన్స్ ప్రావిన్స్ ప్రావిన్స్,France,ఫ్రాన్స్,Europe,యూరోప్,105,"12,824,378",2020,1,1,City of Light,సిటీ ఆఫ్ లైట్,alpha+,ఆల్ఫా +,0,1,metropolitan,మహానగరం ,ప్యారిస్
4,Moscow,0,0,Russia,రష్యా,Europe,యూరోప్,2511,"17,125,000",2020,1,0,0,0,alpha,ఆల్ఫా,1,0,0,0,మాస్కో
5,Tokyo,0,0,Japan ,జపాన్,Asia,ఆసియా,2194,"37,435,191",2020,1,0,0,0,alpha+,ఆల్ఫా +,1,1,costal,తీరప్రాంతం ,టోక్యో
6,Dubai,0,0,United Arab Emirates,యునైటెడ్ అరబ్ ఎమిరేట్స్,Asia,ఆసియా,4114,"6,036,000",2020,0,0,City of Gold,సిటీ ఆఫ్ గోల్డ్,alpha+,ఆల్ఫా +,1,1,costal,తీరప్రాంతం,దుబాయ్
7,Singapore,0,0,Singapore,సింగపూర్,Asia,ఆసియా,728.3,"5,745,000",2020,0,0,"Lion City,Garden City","లయన్ సిటీ, గార్డెన్ సిటీ",alpha+,ఆల్ఫా +,1,0,0,0,సింగపూర్
8,Barcelona,Province of Barcelona ,బార్సిలోనా ప్రావిన్స్,Spain,స్పెయిన్,Europe,యూరోప్,101.9,"4,991,133",2020,1,1,Barna,బార్న,beta+,బీటా +,1,2,costal,తీరప్రాంతం,బార్సిలోనా
9,Los Angeles,California,కాలిఫోర్నియా,United States,యునైటెడ్ స్టేట్స్,North America,ఉత్తర అమెరికా,1302,"13,291,486",2020,0,0,City of Flowers and Sunshine,పువ్వులు మరియు సన్షైన్ నగరం,alpha,ఆల్ఫా,12,2,metropolitan,మహానగరం ,లాస్ ఏంజెల్స్
10,Madrid,0,0,Spain,స్పెయిన్,Europe,యూరోప్,233.3,"6,791,667",2020,1,0,City of Bear and the Strawberry Tree,బేర్ సిటీ మరియు స్ట్రాబెర్రీ ట్రీ,alpha,ఆల్ఫా,2,1,,మహానగరం ,మాడ్రిడ్
11,Rome,Province of Rome,రోమ్ ప్రావిన్స్,Italy,ఇటలీ,Europe,యూరోప్,1285,"4,429,025",2020,1,0,Caput Mundi,కాపట్ ముండి,beta+,బీటా +,1,4,metropolitan,మహానగరం ,రోమ్
12,Chicago,Illinois,ఇల్లినాయిస్,United States,యునైటెడ్ స్టేట్స్,North America,ఉత్తర అమెరికా,606.1,"9,497,790",2020,0,1,"The Windy City, The White City","గాలులు సిటీ, వైట్ సిటీ",alpha,ఆల్ఫా,32,3,metropolitan,మహానగరం ,చికాగో
13,Toronto,Province of Ontario,అంటారియో రాష్ట్రం,Canada,కెనడా,North America,ఉత్తర అమెరికా,630.2,"6,871,000",2020,0,1,0,0,alpha,ఆల్ఫా,33,1,metropolitan,మహానగరం ,టొరంటో
14,San Francisco,California,కాలిఫోర్నియా,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,121.4,"4,729,484",2020,0,1,Golden Gate City,గోల్డెన్ గేట్ సిటీ,alpha-,alpha-,0,0,metropolitan,మహానగరం ,శాన్ ఫ్రాన్సిస్కొ
15,Abu Dhabi,0,0,United Arab Emirates,యునైటెడ్ అరబ్ ఎమిరేట్స్,Asia,ఆసియా,972,"1,270,000",2020,0,1,0,0,beta,బేటా,2,2,costal,తీరప్రాంతం,అబూ ధాబీ
16,St. Petersburg,0,0,Russia,రష్యా,Europe,యూరోప్,1439,"5,230,000",2020,1,0,0,0,beta-,beta-,2,0,metropolitan,మహానగరం ,సెయింట్ పీటర్స్బర్గ్
17,Amsterdam,0,0,Netherlands,నెదర్లాండ్స్,Europe,యూరోప్,219.3,"2,771,661",2020,1,0,holland,హాలండ్,alpha,ఆల్ఫా,6,1,metropolitan,మహానగరం ,ఆమ్స్టర్డామ్
18,Berlin,Berlin,బెర్లిన్,Germany,జర్మనీ,Europe,యూరోప్,891.8,"5,259,363",2020,1,1,0,0,beta+,బీటా +,1,2,metropolitan,మహానగరం ,బెర్లిన్
19,Prague,0,0,Czech Republic,"ఛ్జెచ్ రిపబ్లిక్ 
",Europe,యూరోప్,496,"2,259,981",2020,1,1,Golden City,గోల్డెన్ సిటీ,alpha-,alpha-,1,0,metropolitan,మహానగరం ,ప్రేగ్
20,Washington,0,0,United States,యునైటెడ్ స్టేట్స్ ,North America,ఉత్తర అమెరికా,177,"6,251,240",2020,1,0,D.C,డి.సి,beta+,బీటా +,125,13,coastal,తీరప్రాంతం,వాషింగ్టన్
21,Istanbul,0,0,Turkey,టర్కీ,Europe,యూరోప్,5343,"15,190,000",2020,1,0,"Byzantium, Constantinople, Stamboul","బైజాంటియం, కాన్స్టాంటినోపుల్, స్టాంబౌల్",Alpha -,ఆల్ఫా -,15,2,0,0,ఇస్తాంబుల్
